table,column,type,nullable,default,generated,check_constraint,is_primary_key,foreign_key_ref
vsl_drone_images,uploaded_at,timestamptz,YES,now(),NO,,NO,
vsl_harvests,id,uuid,NO,gen_random_uuid(),NO,,YES,
vsl_harvests,parcel_id,uuid,NO,,NO,,NO,public.vsl_parcels.id
vsl_harvests,harvest_date,date,NO,,NO,,NO,
vsl_harvests,gross_weight_tonnes,numeric,NO,,NO,,NO,
vsl_harvests,ratoon_at_harvest,integer,YES,,NO,,NO,
vsl_harvests,created_by,uuid,YES,,NO,,NO,auth.users.id
vsl_harvests,created_at,timestamptz,NO,now(),NO,,NO,
vsl_activities,id,uuid,NO,gen_random_uuid(),NO,,YES,
vsl_activities,parcel_id,uuid,NO,,NO,,NO,public.vsl_parcels.id
vsl_activities,activity_name,text,NO,,NO,"activity_name = ANY (ARRAY['Bush Clearing'::text, 'Ploughing'::text, 'Harrow'::text, 'Ripping'::text, 'Ridging'::text, 'Furrowing'::text, 'Lime Application'::text, 'Planting'::text, 'Manuring'::text, 'Fertilization'::text, 'Weeding'::text, 'Cultivator'::text, 'Spraying'::text, 'Irrigation'::text, 'Harvesting'::text, 'Loading'::text, 'Trash Lining'::text, 'Trash Collection'::text])",NO,
vsl_activities,assigned_to_legacy,text,YES,,NO,,NO,
vsl_activities,activity_date,date,YES,CURRENT_DATE,NO,,NO,
vsl_activities,created_by,uuid,YES,,NO,,NO,auth.users.id
vsl_activities,created_at,timestamptz,NO,now(),NO,,NO,
vsl_activities,block_id,uuid,YES,,NO,,NO,public.vsl_blocks.id
vsl_activities,estate_id,bigint,YES,,NO,,NO,public.vsl_estate.id
vsl_activities,plot_season_id,uuid,YES,,NO,,NO,public.vsl_parcel_seasons.id
vsl_activities,task_description,text,YES,,NO,,NO,
vsl_activities,status,text,YES,'planned'::text,NO,"status = ANY (ARRAY['planned'::text, 'in_progress'::text, 'completed'::text, 'cancelled'::text])",NO,
vsl_activities,completion_unit,text,YES,,NO,"completion_unit = ANY (ARRAY['acres'::text, 'percent'::text])",NO,
vsl_activities,completion_value,numeric,YES,,NO,,NO,
vsl_activities,team_size,integer,YES,,NO,,NO,
vsl_activities,method,text,YES,,NO,,NO,
vsl_activities,number_of_machines,integer,YES,,NO,,NO,
vsl_activities,due_date,date,YES,,NO,,NO,
vsl_activities,completed_date,date,YES,,NO,,NO,
